"Producer Price Index item","Attribute","Unit","Value"
"Unprocessed foodstuffs and feedstuffs","Month-to-month January 2025 to February 2025","Percent change",7.1
"Unprocessed foodstuffs and feedstuffs","Year-over-year February 2024 to February 2025","Percent change",17
"Unprocessed foodstuffs and feedstuffs","Year-to-date avg. 2025 to avg. 2024","Percent change",8.7
"Unprocessed foodstuffs and feedstuffs","Annual 2022","Percent change",26.7
"Unprocessed foodstuffs and feedstuffs","Annual 2023","Percent change",-10.3
"Unprocessed foodstuffs and feedstuffs","Annual 2024","Percent change",-3
"Unprocessed foodstuffs and feedstuffs","20-year historical average","Percent change",3.6
"Unprocessed foodstuffs and feedstuffs","Lower bound of prediction interval 2025","Percent change",
"Unprocessed foodstuffs and feedstuffs","Mid point of prediction interval 2025","Percent change",
"Unprocessed foodstuffs and feedstuffs","Upper bound of prediction interval 2025","Percent change",
"Processed foods and feeds","Month-to-month January 2025 to February 2025","Percent change",2
"Processed foods and feeds","Year-over-year February 2024 to February 2025","Percent change",6.3
"Processed foods and feeds","Year-to-date avg. 2025 to avg. 2024","Percent change",3.1
"Processed foods and feeds","Annual 2022","Percent change",14
"Processed foods and feeds","Annual 2023","Percent change",-2
"Processed foods and feeds","Annual 2024","Percent change",-0.6
"Processed foods and feeds","20-year historical average","Percent change",3.2
"Processed foods and feeds","Lower bound of prediction interval 2025","Percent change",
"Processed foods and feeds","Mid point of prediction interval 2025","Percent change",
"Processed foods and feeds","Upper bound of prediction interval 2025","Percent change",
"Finished consumer foods","Month-to-month January 2025 to February 2025","Percent change",1.7
"Finished consumer foods","Year-over-year February 2024 to February 2025","Percent change",6.7
"Finished consumer foods","Year-to-date avg. 2025 to avg. 2024","Percent change",4.4
"Finished consumer foods","Annual 2022","Percent change",14.2
"Finished consumer foods","Annual 2023","Percent change",2
"Finished consumer foods","Annual 2024","Percent change",3.3
"Finished consumer foods","20-year historical average","Percent change",3
"Finished consumer foods","Lower bound of prediction interval 2025","Percent change",
